name	status	consortium	phsId	library:dataUseRestriction	library:indication	library:studyDesign	library:datatype	subjectCount	bucketName	sampleCount	participantCount	familyCount	discoveryCount	bucketSize	requestorPays	NRES	GRU	HMB	IRB	PUB	COL	NPU	MDS	GSO	DS	diseaseText	consentLongName	consentTitle
AnVIL_CSER_CHARM_GRU	Released	 CSER	 phs002111	GRU	Hereditary Cancer Risk	Clinical Trial	Whole Exome	827	fc-secure-0884159e-e5c1-4e73-82a0-e722e1bacf6f	827	0	0	0	4352926267719	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_ccdg_asc_ndd_daly_talkowski_chung_asd_exome	Released	 CCDG	 phs002502	DS-ASD	autism spectrum disorder	Family/Twins/Trios	Exome	0	fc-secure-08bb70e6-9fa1-40dc-8822-41d73945c053	523	523	0	0	846574291140	True	False	False	False	False	False	False	False	False	False	ASD	Autism Spectrum Disorder	Use of the data must be related to Autism Spectrum Disorder.	Disease-specific research and clinical care (ASD)
AnVIL_CCDG_Broad_CVD_EOCAD_TaiChi_WGS	Released	 CCDG	 phs001487	DS-CVD-IRB-COL-MDS	cardiovascular system disease	Case Set	Whole Genome	0	fc-secure-09e06b8a-30e8-47a8-8faa-ec7201bc120d	773	773	0	0	16147300217052	True	False	False	False	True	False	True	False	True	False	CVD	Cardiovascular Disease	Use of the data must be related to Cardiovascular Disease. Requesting institution's IRB or equivalent body must approve the requested use. Requestor must provide a letter of collaboration with the primary study investigator(s). The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (CVD, IRB, COL, MDS)
AnVIL_CCDG_Broad_AI_IBD_Brant_DS-IBD_WGS	Released	 CCDG	 phs001642	HMB	inflammatory bowel disease	Case-Control	Whole Genome	199	fc-secure-0ac23157-c61b-47c0-9567-a5296e124a84	199	199	0	0	2978017609641	True	False	False	True	False	False	False	False	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.	Health/medical/biomedical research and clinical care
AnVIL_ccdg_asc_ndd_daly_talkowski_ac-boston_asd_exome	Released	 CCDG	 phs002502	DS-ASD	autism spectrum disorder	Family/Twins/Trios	Exome	0	fc-secure-0aedc988-3736-496c-b7ac-20cca5b3ceb9	757	757	0	0	1288111643072	True	False	False	False	False	False	False	False	False	False	ASD	Autism Spectrum Disorder	Use of the data must be related to Autism Spectrum Disorder.	Disease-specific research and clinical care (ASD)
AnVIL_CCDG_WashU_AI_T1D_T1DGC_WGS	Released	 CCDG	 phs001222	DS-DRC-IRB-NPU	type 1 diabetes mellitus	TBD	Whole Genome	3397	fc-secure-0b19bbb9-481f-404d-a4a6-3024b7c4b698	3397	0	0	0	64269595853096	True	False	False	False	True	False	False	True	False	False	DRC	Diabetes and Related Complications	Use of the data must be related to Diabetes and Related Complications. Requesting institution's IRB or equivalent body must approve the requested use. Use of the data is limited to not-for-profit organizations.	Disease-specific research and clinical care (DRC, IRB, NPU)
anvil_ccdg_broad_ai_ibd_daly_xavier_share_gsa	Released	 CCDG	 phs001642	DS_IBD	inflammatory bowel disease	Case-Control	Genotyping Array	704	fc-secure-0c14dcfc-8424-4d1c-9f66-97667adac02c	704	706	0	0	122047072305	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
anvil_nhgri_broad_ibd_daly_kugathasan_wes	Released	 CCDG	 phs001642	GRU	inflammatory bowel disease	Case-Control	Exome	546	fc-secure-0ca0c5e6-26ca-47ea-b509-ec4eaa058fc6	546	546	0	0	827034907716	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_AUSAUS_EPI_BA_ID_MDS_WES	Released	 CCDG	 phs001489	DS-EPSBAID-MDS-RD	epilepsy	Case Set	Exome	24	fc-secure-0de89e54-2149-4e06-81f9-da5af48c68a3	24	24	0	0	46136907602	True	False	False	False	False	False	False	False	True	False	EPSBAID	Epilepsy, Structural Brain Abnormalities, Intellectual Disability	"ERROR: Unknown symbol ""RD"""	ERROR
anvil_ccdg_broad_ai_ibd_niddk_daly_silverberg_wes	Released	 CCDG	 phs001642	DS-IBD	inflammatory bowel disease	Case-Control	Exome	2462	fc-secure-0eba3dae-89be-4642-8982-9a80a7428cd2	2462	2444	0	0	3434732647274	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
AnVIL_CCDG_Broad_NP_Epilepsy_FINKPH_EPIL_CO_MORBIDI_MDS_WES	Released	 CCDG	 phs001489	DS-EPCOM-MDS-RD	epilepsy	Case Set	Exome	904	fc-secure-0f948ad2-2ae8-433c-9f0c-941c4c5e4a89	904	904	0	0	1403681034493	True	False	False	False	False	False	False	False	True	False	EPCOM	Epilepsy and Epilepsy Comorbidities	"ERROR: Unknown symbol ""RD"""	ERROR
AnVIL_CCDG_Broad_NP_Epilepsy_DEUUTB_HMB-NPU-MDS_WES	Released	 CCDG	 phs001489	HMB-NPU-MDS	epilepsy	Case Set	Exome	1654	fc-secure-0fc5a889-f57e-40a1-9859-c5b1e8a196d1	1654	1654	0	0	2369762071948	True	False	False	True	False	False	False	True	True	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. Use of the data is limited to not-for-profit organizations. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Health/medical/biomedical research and clinical care (NPU, MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_USAUPN_Marsh_GRU_WES	Released	 CCDG	 phs001489	GRU	epilepsy	Case Set	Exome	341	fc-secure-124c02b9-69b7-468c-b3d7-4a07aee74dc5	341	341	0	0	402627251552	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
anvil_ccdg_broad_ai_ibd_alm_gmc_wes	Released	 CCDG	 phs002205	GRU	inflammatory bowel disease	Case-Control	Exome	0	fc-secure-1355eb72-b00f-4796-8892-ac271b699503	915	915	0	0	1021683716875	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_BELULB_DS-EP-NPU_WES	Released	 CCDG	 phs001489	DS-EP-NPU	epilepsy	Case Set	Exome	415	fc-secure-13597242-de35-44e2-b8fb-b5fa0b983501	415	415	0	0	675580924695	True	False	False	False	False	False	False	True	False	False	EP	Epilepsy	Use of the data must be related to Epilepsy. Use of the data is limited to not-for-profit organizations.	Disease-specific research and clinical care (EP, NPU)
anvil_ccdg_broad_ai_ibd_daly_vermeire_wes	Released	 CCDG	 phs001642	DS-GI	inflammatory bowel disease	Case-Control	Exome	4719	fc-secure-1614d6d2-d053-4de0-9b97-cc4b0762f547	4719	4719	0	0	4793067592070	True	False	False	False	False	False	False	False	False	False	GI	Gastrointestinal Illness	Use of the data must be related to Gastrointestinal Illness.	Disease-specific research and clinical care (GI)
anvil_ccdg_broad_ai_ibd_daly_newberry_share_gsa	Released	 CCDG	 phs001642	DS_GI	inflammatory bowel disease	Case-Control	Genotyping Array	878	fc-secure-1690a118-f1d2-43e3-a7a2-9042a477bf4d	878	869	0	0	149544448079	True	False	False	False	False	False	False	False	False	False	GI	Gastrointestinal Illness	Use of the data must be related to Gastrointestinal Illness.	Disease-specific research and clinical care (GI)
AnVIL_ccdg_asc_ndd_daly_talkowski_lattig_asd_exome	Released	 CCDG	 phs002502	GRU	autism spectrum disorder	Family/Twins/Trios	Exome	0	fc-secure-16e0c63c-847a-42ef-91ca-3523b3668357	487	487	0	0	450524320882	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_TURBZU_GRU_WES	Released	 CCDG	 phs001489	GRU	epilepsy	Case Set	Exome	208	fc-secure-17d8dbc9-d1d8-4d5d-8eb7-c1b82bef24d8	208	208	0	0	351153810661	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_NIMH_CIRM_FCDI_ConvergentNeuro_McCarroll_Eggan_GRU_Arrays	Released	 Convergent Neuroscience	 phs002032	GRU	CIRM iPSC Repository	Case-Control	Single Cell RNAseq,Pooled Genomic Seq	2167	fc-secure-19c8cbed-8f4e-4bde-bf60-bb3ed6e9efd4	2167	2167	0	0	21027763870	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
anvil_ccdg_broad_ai_ibd_daly_franchimont_gsa	Released	 CCDG	 phs001642	DS_GI_IRB_MDS	inflammatory bowel disease	Case-Control	Genotyping Array	2827	fc-secure-1a21e646-3fba-44ea-b395-dc1a216e0fcc	2828	2824	0	0	481909938431	True	False	False	False	True	False	False	False	True	False	GI	Gastrointestinal Illness	Use of the data must be related to Gastrointestinal Illness. Requesting institution's IRB or equivalent body must approve the requested use. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (GI, IRB, MDS)
AnVIL_CCDG_WashU_CVD_EOCAD_WashU-CAD_GRU-IRB_WGS	Released	 CCDG	 phs001227	GRU-IRB	atherosclerosis	Case-Control	Whole Genome	265	fc-secure-1a841909-2e43-4c83-8b66-ba15aceecfee	265	0	0	0	5315227891539	True	False	True	False	True	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification. Requesting institution's IRB or equivalent body must approve the requested use.	General research use and clinical care (IRB)
anvil_ccdg_broad_ai_ibd_daly_mcgovern_gsa	Released	 CCDG	 phs001642	GRU	inflammatory bowel disease	Case-Control	Genotyping Array	6092	fc-secure-1ae0ae96-af69-42d2-a018-892fe7c7b044	6092	6088	0	0	1037348445375	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_CVD_EOCAD_VIRGO_WGS	Released	 CCDG	 phs001259	DS-CARD-MDS-GSO	cardiovascular system disease	TBD	Whole Genome	0	fc-secure-1b2f65a3-61f8-4ce1-93ad-65b690c1f043	2159	2158	0	0	40418118613825	True	False	False	False	False	False	False	False	True	True	CARD	Cardiology	Use of the data must be related to Cardiology. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms). Use of the data is limited to genetic studies only.	Disease-specific research and clinical care (CARD, MDS, GSO)
AnVIL_CCDG_Baylor_CVD_HemStroke_Yale_HMB_WGS	Released	 CCDG	 Registration Pending	HMB	hemorrhagic stroke	TBD	Whole Genome	0	fc-secure-1d07990d-3332-4233-ad22-18d701ae7ead	185	185	0	0	INFO	True	False	False	True	False	False	False	False	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.	Health/medical/biomedical research and clinical care
AnVIL_CCDG_NYGC_NP_Autism_HFA_DS_WGS	Released	 CCDG	 phs002044	DS-ASD-IRB	autism spectrum disorder	Family, Parent-Offspring	Whole Genome	0	fc-secure-203efee5-de46-4cb1-9374-3c5be56e5a5e	509	509	0	0	10712917558987	True	False	False	False	True	False	False	False	False	False	ASD	Autism Spectrum Disorder	Use of the data must be related to Autism Spectrum Disorder. Requesting institution's IRB or equivalent body must approve the requested use.	Disease-specific research and clinical care (ASD, IRB)
AnVIL_CMG_Broad_Blood_Sankaran_WGS	Released	 CMG	 phs001272	DS-BFD-MDS	Mendelian disorders	Parent-Offspring Trios	Whole Genome	0	fc-secure-2069fdfd-aef5-4321-a69f-94bdff6396d8	96	96	0	0	1609882645515	True	False	False	False	False	False	False	False	True	False	BFD	Bone Failure Disorders	Use of the data must be related to Bone Failure Disorders. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (BFD, MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_GBRSWU_CARDI_NEURO_WES	Released	 CCDG	 phs001489	DS-CARNEU-MDS	epilepsy	Case Set	Exome	305	fc-secure-21cd882f-8470-4c2e-93dc-536a908bae73	305	305	0	0	394372280354	True	False	False	False	False	False	False	False	True	False	CARNEU	Cardiology, Neurology	Use of the data must be related to Cardiology, Neurology. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (CARNEU, MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_FRALYU_HMB_WES	Released	 CCDG	 phs001489	HMB-MDS	epilepsy	Case Set	Exome	804	fc-secure-221b863c-a724-42f3-9f90-2081b352799c	1030	1030	0	0	1149330128029	True	False	False	True	False	False	False	False	True	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Health/medical/biomedical research and clinical care (MDS)
AnVIL_CCDG_NYGC_NP_Autism_SSC_WGS	Released	 CCDG	 phs001676	DS-AONDD-IRB	autism spectrum disorder	Family/Twins/Trios	Whole Genome	9201	fc-secure-22693da1-7a53-4115-9b93-98856c7c1ca8	9201	0	0	0	234061878293221	True	False	False	False	True	False	False	False	False	False	AONDD	Autism or other Neurodevelopmental Disease	Use of the data must be related to Autism or other Neurodevelopmental Disease. Requesting institution's IRB or equivalent body must approve the requested use.	Disease-specific research and clinical care (AONDD, IRB)
anvil_ccdg_broad_ai_ibd_daly_faubion_share_wes	Released	 CCDG	 phs001642	DS-IBD	inflammatory bowel disease	Case Set	Exome	904	fc-secure-228fd6fd-e0f7-4895-a246-3b055be27aa1	904	890	0	0	813351462999	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
anvil_ccdg_broad_ai_ibd_daly_faubion_share_gsa	Released	 CCDG	 phs001642	DS_IBD	inflammatory bowel disease	Case-Control	Genotyping Array	905	fc-secure-22b8722b-d3d2-4932-a508-a2fe53507815	906	905	0	0	155510250719	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
AnVIL_CMH_GAFK_10X-Genomics	Released	 CMH	 phs002206	DS-PEDD-IRB	Unspecified	Case only / Trio / Family	Whole Genome - 10x Linked Reads	0	fc-secure-22d0b958-89a2-40be-91a5-efd0a24ccca6	0	0	0	0	3375005176890	True	False	False	False	True	False	False	False	False	False	PEDD	Pediatric Disease	Use of the data must be related to Pediatric Disease. Requesting institution's IRB or equivalent body must approve the requested use.	Disease-specific research and clinical care (PEDD, IRB)
AnVIL_CSER_NYCKIDSEQ_GRU	Released	 CSER	 phs002337	GRU	Suspected Genetic Disorder	Clinical Trial	Targeted Panel, Whole Exome Sequencing	449	fc-secure-230e59a6-b7e3-4fcc-8336-e53224647de3	449	0	0	0	27184764453427	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
anvil_ccdg_broad_ai_ibd_daly_pekow_share_gsa	Released	 CCDG	 phs001642	HMB	inflammatory bowel disease	Case-Control	Genotyping Array	634	fc-secure-235d1810-a62f-4c1a-937a-07760b233d84	634	706	0	0	121655900382	True	False	False	True	False	False	False	False	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.	Health/medical/biomedical research and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_CHEUBB_HMB_IRB_MDS_WES	Released	 CCDG	 phs001489	HMB-IRB-MDS	epilepsy	Case Set	Exome	47	fc-secure-240e1629-6d73-42ab-a373-1abeec17824c	47	47	0	0	46007746359	True	False	False	True	True	False	False	False	True	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. Requesting institution's IRB or equivalent body must approve the requested use. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Health/medical/biomedical research and clinical care (IRB, MDS)
anvil_ccdg_broad_ai_ibd_daly_vermeire_gsa	Released	 CCDG	 phs001642	DS_GI	inflammatory bowel disease	Case-Control	Genotyping Array	4753	fc-secure-2423f9d0-f5e1-485e-96a4-6b3e423c87a3	4753	4850	0	0	827079261508	True	False	False	False	False	False	False	False	False	False	GI	Gastrointestinal Illness	Use of the data must be related to Gastrointestinal Illness.	Disease-specific research and clinical care (GI)
anvil_ccdg_broad_ai_ibd_daly_sands_msccr_gsa	Released	 CCDG	 phs001642	DS_IBD	inflammatory bowel disease	Case-Control	Genotyping Array	1464	fc-secure-25dae37d-3cd1-4c52-82ff-997d60f93d17	1464	1464	0	0	251029432955	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
AnVIL_GTEx_Somatic_WGS	Released	 GTEx	 TBD	NA	N/A	Control Set	Whole Genome	0	fc-secure-26649e9f-d67d-4ba1-9332-afb14dadfa0b	616	125	0	0	27100625520732	True	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
AnVIL_CCDG_NYGC_NP_Autism_ACE2_DS-MDS_WGS	Released	 CCDG	 phs002042	DS-ASD-MDS-PUB	autism spectrum disorder	Parent-Offspring	Whole Genome	146	fc-secure-285cdab6-0292-4c49-b22f-5232df22e9a7	146	0	0	0	3386097850610	True	False	False	False	False	True	False	False	True	False	ASD	Autism Spectrum Disorder	Use of the data must be related to Autism Spectrum Disorder. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms). Requestor agrees to make results of studies using the data available to the larger scientific community.	Disease-specific research and clinical care (ASD, MDS, PUB)
anvil_ccdg_broad_ai_ibd_niddk_daly_brant_wes	Released	 CCDG	 phs001642	HMB	inflammatory bowel disease	Case-Control	Exome	1081	fc-secure-29cd113f-7eca-4526-aa52-dde1b8cb41d0	1081	1078	0	0	1229685050159	True	False	False	True	False	False	False	False	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.	Health/medical/biomedical research and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_BELATW_GRU_WES	Released	 CCDG	 phs001489	GRU	epilepsy	Case Set	Exome	107	fc-secure-2a64d87a-8f6c-418f-87bb-bd0fb4ecd806	107	107	0	0	191505541229	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_HKOSB_GRU_WES	Released	 CCDG	 phs001489	GRU	epilepsy	Case Set	Exome	114	fc-secure-2b4d5d05-d951-4e51-8ece-7e851660f91a	114	114	0	0	104376769321	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_eMERGE_PGRNseq	Released	 eMERGE	 phs001616	TBD	Unspecified	TBD	TBD	0	fc-secure-2c07111e-8696-439c-9183-64a9ecb083a7	9010	9010	0	0	2536698676	True	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
anvil_ccdg_broad_ai_ibd_daly_kupcinskas_gsa	Released	 CCDG	 phs001642	HMB	inflammatory bowel disease	Case-Control	Genotyping Array	2279	fc-secure-2d57ce5d-fb5d-479d-945e-eb922ff9184b	2279	2284	0	0	391859507573	True	False	False	True	False	False	False	False	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry.	Health/medical/biomedical research and clinical care
AnVIL_ccdg_asc_ndd_daly_talkowski_kolevzon_asd_wgs	Released	 CCDG	 phs002502	GRU	autism spectrum disorder	Family/Twins/Trios	Whole Genome	0	fc-secure-2e284171-99ef-45b5-9261-b99a9208b241	27	27	0	0	507497798600	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_1000G_PRIMED-data-model	Released	 1000G	 None	Unspecified	Unspecified	Whole Genome	Unspecified	3202	fc-2ee2ca2a-a140-48a1-b793-e27badb7945d	3202	0	0	0	75488365279	True	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
AnVIL_CMG_Yale_DS-RD	Released	 CMG	 phs000744	DS-RD	Mendelian disorders	Mendelian	Exome	100	fc-secure-2f8e1b2b-f55c-4db9-aa40-66e042c5fc33	100	0	99	0	79511273368	True	False	False	False	False	False	False	False	False	False	RD	Reproductive Disorders	Use of the data must be related to Reproductive Disorders.	Disease-specific research and clinical care (RD)
anvil_ccdg_broad_ai_ibd_daly_newberry_share_wes	Released	 CCDG	 phs001642	DS_GI	inflammatory bowel disease	Case Set	Exome	889	fc-secure-2fa3df40-c189-41ee-b5ba-484a0b77ef77	889	925	0	0	906964779017	True	False	False	False	False	False	False	False	False	False	GI	Gastrointestinal Illness	Use of the data must be related to Gastrointestinal Illness.	Disease-specific research and clinical care (GI)
AnVIL_CCDG_Broad_NP_Epilepsy_GBRUNL_GRU_WES	Released	 CCDG	 phs001489	GRU	epilepsy	Case Set	Exome	55	fc-secure-315a127f-649d-4928-b4e0-cdca7d898e05	55	55	0	0	121778625502	True	False	True	False	False	False	False	False	False	False			Use of the data is limited only by the terms of the Data Use Certification.	General research use and clinical care
AnVIL_CCDG_Broad_NP_Epilepsy_USALCH_HMB_WES	Released	 CCDG	 phs001489	HMB-MDS	Epilepsy	Case Set	Exome	7	fc-secure-329541c8-6a6d-4160-aa02-ccedefdb97f9	7	7	0	0	5928171814	True	False	False	True	False	False	False	False	True	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Health/medical/biomedical research and clinical care (MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUMR_GRU_NPU_WES	Released	 CCDG	 phs001489	GRU-NPU	epilepsy	Case set	Exome	1086	fc-secure-32a2f8aa-4f72-43e9-9450-bbf661bde5ef	1086	1086	0	0	1892691202363	True	False	True	False	False	False	False	True	False	False			Use of the data is limited only by the terms of the Data Use Certification. Use of the data is limited to not-for-profit organizations.	General research use and clinical care (NPU)
