Disease abbrev	Disease name
MSC	Melanoma and Skin Cancer Research
MULT	MULTIPLE
MULTIPLE_DISEASES	Cardiovascular, metabolic disease and associated risk factors
MUS-SKEL	Musculoskeletal Diseases
NAFLD	Nonalcoholic Fatty Liver Disease
NBIA	Neurodegeneration with Brain Iron Accumulation
ND	Neurodegenerative Disease
NDC	Neurological Disorders and Cancer
NDEVRD	Neurodevelopmental and related disorders
NDR	Neurological Disorders Research
NDRD	Neurological and Related Disorders
NEURO	Neurological Diseases
NEURO-EP	Neurology, Epilepsy
NEUROLOGY	Neurology
NEUROLOGY-ADULTS	Neurology - Adults
NHL	non-Hodgkin Lymphoma
NIC-EMP-LENF	No Insurance companies, employers, or the police until required by court order or by law
NMD	Neuromuscular Disease
NNMC	neurologic and neuromuscular conditions
NPC1	Niemann-Pick disease type C1
NPD	Neuropsychiatric Disorders
NPH	Normal Pressure Hydrocephalus
NSCLC	non-small cell lung cancer
NSD	Nervous System Diseases
NSD-ADULTS	Nervous System Diseases-Adults
NTT	Nervous Tissue Tumors
OA	Osteoarthritis
OBD	Orofacial birth defects
OBDR	Orofacial birth defects and related phenotypes
OBS	Obesity
OC	Oral Clefts
OCD	Obsessive Compulsive Disorder
OCD-OPC	Obsessive Compulsive Disorder and other psychiatric conditions
ODON	Odontogenic Tumors
OFC	Orofacial Cleft
OH	Oral Health
OM	Otitis Media
OSP	Osteoporosis
OVCA	Ovarian Cancer
OVTU	Ovarian Tumors
PACA	Pancreatic Cancer
PAP	Paclitaxel-associated pain
PBDPBC	Pediatric Brain Disorders and Pediatric Brain Cancer
PC	Prostate Cancer
PCD	plasma cell dyscrasias
PCP	Prostate Cancer Predisposition
PD	Parkinson's Disease
PD-RSC	Psychiatric Disorders and Related Somatic Conditions
PDBD	Parkinson's Disease and other Brain Disorders
PDND	Parkinson's disease or other neurodegenerative disorders
PDRD	Parkinson's Disease and Related Disorders
PEDCR	Pediatric Cancer Research
PEDD	Pediatric Disease
PF	Platelet Function
PFD	Pelvic Floor Disorders
PFIB	Pulmonary Fibrosis
PH	Peanut Hypersensitivity
PHACE	PHACE Syndrome
PLC	Pediatric Liver Cancer
PLGD	Pediatric Liver or Gut Disease
PNTM	Pulmonary non-tuberculous mycobacterial infection
PPD	Post-partum depression
PRD	Prostate Disease
PREG-COM	Pregnancy Complications
PRO	Progeria
PSO	Psoriasis
PSO-PSA	Psoriasis and Psoriatic Arthritis
PSO-RD	Psoriasis and related diseases
PTB	Preterm Birth
PTL	Pre-Term Labor
PTSD	Post Traumatic Stress Disorder
PUL-ILD	Pulmonary, Interstitial Lung Disease
PVD	Pulmonary Vascular Disease
RARED	Rare Disease
RCC	Kidney Cancer
RCCA	Renal Cell Carcinoma
RCTD	Rare Disorders Involving Malformations of Head and Neck
RD	Reproductive Disorders
RET-DIS	Retinal Diseases
RVI	Respiratory Viral Infections
S-CARD	Sudden Cardiac Death
SAR	Sarcoidosis
SARC	Sarcoma
SASC	Supravalvular Aortic Stenosis or Cutix Laxa
SCCD	Strabismus, Congenital Cranial Dysinnervation Disorders, and related anomalies
SCD	Sickle Cell Disease
SCOID	Scoliosis, idiopathic
SEIZD	Seizure Disorders
SHFM	Split Hand Foot Malformations and Related Disorders
SJO	Sjogren's Syndrome
SJO-SLE-RA-RD	Sjogren's, LUPUS, RA AND RELATED DISEASES
SKCA	Skin Cancer
SKDYS	Skeletal Dysplasias
SLCD	Sleep and Circadian Disorders
SLE	Systemic lupus erythematosus
SL_AN	Skin Laxity or Arterial Narrowing
SMA	Spinal Muscular Atrophy
SN	Social Network
SR	Stroke Research
STK	Stroke
STK-IRB-RD	Stroke and Related Disorders
SUD	Substance Use Disorders
SZBPREL	Schizophrenia, Bipolar Disorder, and genetically related illnesses
SZRD	Schizophrenia and related disorders
T-ORD-ODD	Tourette, Other Related Disorders, Other Developmental Disorders
T1D	Type 1 Diabetes
T1DCR	Type 1 Diabetes, Complications, and Related Traits
T1DR	Type 1 diabetes, its complications and other autoimmune diseases
T2D	Type 2 Diabetes
T2D_GDM	Type 2 Diabetes or Gestational Diabetes Mellitus
TC	Thyroid Cancer
TENT	Tropical Enteropathy
TGCT	Testicular Cancer
TH	Thromboembolic disorders and hemorrhage
THAL	Thalassemia
TMJD	Temporomandibular Joint Disorder
TRIC	Trichelemmel Cysts
TS	Tourette Syndrome
TS-X	Turner Syndrome
TSC	Tuberous Sclerosis Complex
TSRD	Tourette Syndrome and Related Disorders
UC	Urinary Conditions
UEC	Uterine Endometrial Carcinosarcoma
UF	Uterine Fibroids
UM	Uveal Melanoma
VAD	Vitiligo or Autoimmune Disorders
VTO	Vitiligo
